REM INSERTING into EXPORT_TABLE
SET DEFINE OFF;
Insert into EXPORT_TABLE (NOME,DEPARTAMENTO,SALARIO,"COMISSÃO",INICIO) values ('Danielle da Silva','12','7450','21',to_date('13/12/07','DD/MM/RR'));
Insert into EXPORT_TABLE (NOME,DEPARTAMENTO,SALARIO,"COMISSÃO",INICIO) values ('Salvino Lopes','50','22541','21',to_date('15/12/08','DD/MM/RR'));
Insert into EXPORT_TABLE (NOME,DEPARTAMENTO,SALARIO,"COMISSÃO",INICIO) values ('Cristina Murakami','12','7500','3',to_date('18/01/98','DD/MM/RR'));
Insert into EXPORT_TABLE (NOME,DEPARTAMENTO,SALARIO,"COMISSÃO",INICIO) values ('Ana Raquel Fernandes','12','5000','3',to_date('18/05/01','DD/MM/RR'));
Insert into EXPORT_TABLE (NOME,DEPARTAMENTO,SALARIO,"COMISSÃO",INICIO) values ('Marcos da Cunha','11','2145,74','3',to_date('11/01/00','DD/MM/RR'));
Insert into EXPORT_TABLE (NOME,DEPARTAMENTO,SALARIO,"COMISSÃO",INICIO) values ('Jozivaldo Abreu','11','3145,74','3',to_date('13/03/02','DD/MM/RR'));
Insert into EXPORT_TABLE (NOME,DEPARTAMENTO,SALARIO,"COMISSÃO",INICIO) values ('Daiane dos Santos','11','4145,74','3',to_date('13/03/02','DD/MM/RR'));
Insert into EXPORT_TABLE (NOME,DEPARTAMENTO,SALARIO,"COMISSÃO",INICIO) values ('Geraldo Reis Lima','33','5145,74','3',to_date('13/03/02','DD/MM/RR'));
Insert into EXPORT_TABLE (NOME,DEPARTAMENTO,SALARIO,"COMISSÃO",INICIO) values ('Helio Gomes','33','5145,74','3',to_date('13/03/02','DD/MM/RR'));
Insert into EXPORT_TABLE (NOME,DEPARTAMENTO,SALARIO,"COMISSÃO",INICIO) values ('Diogo Sanguino','33','2145,74','3',to_date('13/03/02','DD/MM/RR'));
Insert into EXPORT_TABLE (NOME,DEPARTAMENTO,SALARIO,"COMISSÃO",INICIO) values ('Paulo Norberto','11','2145,74','3',to_date('13/03/02','DD/MM/RR'));
Insert into EXPORT_TABLE (NOME,DEPARTAMENTO,SALARIO,"COMISSÃO",INICIO) values ('Marinaldo de Souza','50','2145,74','3',to_date('13/03/02','DD/MM/RR'));
Insert into EXPORT_TABLE (NOME,DEPARTAMENTO,SALARIO,"COMISSÃO",INICIO) values ('Adriana Doretto','42','2145,74','3',to_date('18/05/01','DD/MM/RR'));
Insert into EXPORT_TABLE (NOME,DEPARTAMENTO,SALARIO,"COMISSÃO",INICIO) values ('Maria Oliveira','50','12258,45','10',to_date('02/01/00','DD/MM/RR'));
