"CD_CLIENTE","NM_CLIENTE","TP_CLIENTE","NR_ESTRELAS","TELEFONE","FAX","NR_HABILITACAO"
0,"MOVEIS BANANAL LTDA","J",0,"","",9293984003
51,"LOPES LTDA","J",2,"","",6325412587
52,"OLIVEIRA S/A","J",4,"","",7452002523
53,"KOWSKWN LTDA","J",,"","",986521478253
54,"MENKONE LTDA","J",3,"","",3598741268
55,"MARIA LINDA DA SILVA","F",1,"","",123874521
61,"PAPEL E CELULOSE LTDA","J",,"","",3521874252
62,"FAMILIA POMPOSO","F",,"","",854785625
63,"FAZBEM S/A","J",0,"","",36582147252
64,"ALEGRIA GERAL ASSOCIADOS","J",,"","",63585257458
65,"VEM QUE VOU ME","J",4,"","",225587452122
66,"OS ANONIMOS ME","J",1,"","",36251478582
67,"EU E VOCE LTDA","J",,"","",9658745215
68,"GUGBLAUS SWERATZWKS","F",2,"","",251424872525
69,"RUICHAPEU SHOW","J",3,"","",52147852555
70,"MARTE VENUS S/A","J",0,"","",2102698575
